UNITNUM,COUNTYNAME,COUNTY,VTDNAME,VTDCODE,TOT_POP,TOT_WHITE,TOT_BLACK,TOT_ASIAN,TOT_AMIND,TOT_OTHER,TOT_HISPANIC,VAP_TOTAL,VAP_WHITE,VAP_BLACK,VAP_ASIAN,VAP_AMIND,VAP_OTHER,VAP_HISPANIC,REG_TOTAL_25_12,REG_WHITE_25_12,REG_BLACK_25_12,REG_OTHER_25_12,REG_DEM_TOTAL_25_12,REG_DEM_WHITE_25_12,REG_DEM_BLACK_25_12,REG_DEM_OTHER_25_12,REG_REP_TOTAL_25_12,REG_REP_WHITE_25_12,REG_REP_BLACK_25_12,REG_REP_OTHER_25_12,REG_OTH_TOTAL_25_12,REG_OTH_WHITE_25_12,REG_OTH_BLACK_25_12,REG_OTH_OTHER_25_12
551,Acadia,001,1-1,220010001-1,1877,1672,110,7,22,66,80,1381,1258,57,7,15,44,56,1207,1128,48,31,258,218,35,5,632,616,2,14,317,294,11,12
518,Acadia,001,1-2,220010001-2,1780,1245,482,10,17,26,26,1349,1008,314,3,7,17,14,979,781,177,21,278,153,118,7,454,445,5,4,247,183,54,10
558,Acadia,001,1-3,220010001-3,1719,1314,344,17,13,31,29,1361,1071,256,9,9,16,17,1020,838,163,19,302,178,121,3,518,504,10,4,200,156,32,12
516,Acadia,001,1-4,220010001-4,2417,1849,514,8,16,30,26,1788,1473,282,5,8,20,15,1286,1105,163,18,373,260,109,4,595,579,9,7,318,266,45,7
521,Acadia,001,1-5,220010001-5,655,343,299,0,10,3,9,525,292,223,0,7,3,6,416,192,219,5,222,67,154,1,83,73,9,1,111,52,56,3
547,Acadia,001,1-6,220010001-6,1286,271,981,4,15,15,30,996,201,771,3,9,12,23,837,112,705,20,576,23,548,5,81,54,20,7,180,35,137,8
5777,Acadia,001,1-7,220010001-7,1322,1181,105,1,12,23,18,1011,909,75,1,12,14,11,724,669,42,13,184,158,25,1,383,378,1,4,157,133,16,8
546,Acadia,001,1-8,220010001-8,1601,1162,366,2,29,42,57,1123,866,221,0,16,20,30,977,788,159,30,237,120,110,7,469,452,4,13,271,216,45,10
550,Acadia,001,2-1,220010002-1,1687,1521,112,8,19,27,41,1263,1146,79,6,13,19,26,1233,1147,55,31,210,170,35,5,700,686,4,10,323,291,16,16
524,Acadia,001,2-2,220010002-2,1110,1055,24,5,11,15,26,871,834,17,5,8,7,14,938,913,8,17,145,140,4,1,637,625,1,11,156,148,3,5
549,Acadia,001,2-3,220010002-3,1540,1267,189,3,17,64,62,1058,892,109,2,11,44,39,900,800,70,30,175,126,46,3,519,503,4,12,206,171,20,15
3855,Acadia,001,2-4,220010002-4,316,274,30,0,1,11,13,229,203,23,0,1,2,5,175,160,11,4,24,20,4,0,112,107,3,2,39,33,4,2
534,Acadia,001,2-5,220010002-5,973,898,26,10,12,27,32,726,676,20,7,9,14,21,653,634,12,7,104,93,11,0,439,436,0,3,110,105,1,4
523,Acadia,001,3-1,220010003-1,910,463,380,7,23,37,30,661,365,246,7,14,29,22,428,268,139,21,172,67,102,3,151,137,5,9,105,64,32,9
522,Acadia,001,3-2,220010003-2,1416,1257,78,10,12,59,57,1036,937,44,6,12,37,39,789,754,15,20,133,122,8,3,470,461,1,8,186,171,6,9
519,Acadia,001,3-3,220010003-3,2569,1756,694,6,12,101,119,1953,1411,475,1,8,58,57,1355,1040,286,29,446,260,181,5,545,515,22,8,364,265,83,16
552,Acadia,001,3-4,220010003-4,1303,651,603,0,9,40,50,938,486,429,0,5,18,21,846,396,433,17,414,82,328,4,228,212,9,7,204,102,96,6
525,Acadia,001,3-5,220010003-5,1239,1005,152,10,25,47,53,872,728,90,8,19,27,31,749,644,90,15,180,106,72,2,369,360,3,6,200,178,15,7
548,Acadia,001,3-7,220010003-7,1571,1286,233,0,15,37,43,1138,967,132,0,11,28,20,900,796,87,17,234,173,59,2,446,434,5,7,220,189,23,8
554,Acadia,001,4-1,220010004-1,1154,1072,25,3,18,36,41,860,807,14,3,14,22,27,655,635,8,12,139,134,5,0,359,349,1,9,157,152,2,3
555,Acadia,001,4-2,220010004-2,1304,1175,90,0,9,30,31,932,839,64,0,8,21,17,715,662,40,13,162,132,30,0,363,355,4,4,190,175,6,9
