objectid,unit_name,countyname,tot_pop_y,tot_white,tot_black,tot_asian,tot_amind,tot_other,tot_hispanic,vap_total,vap_white,vap_black,vap_asian,vap_amind,vap_other,vap_hispanic,reg_total_24_12,reg_white_24_12,reg_black_24_12,reg_other_24_12,reg_dem_total_24_12,reg_dem_white_24_12,reg_dem_black_24_12,reg_dem_other_24_12,reg_rep_total_24_12,reg_rep_white_24_12,reg_rep_black_24_12,reg_rep_other_24_12,reg_oth_total_24_12,reg_oth_white_24_12,reg_oth_black_24_12,reg_oth_other_24_12,congressional,senate,house,public_service_commission,supreme_court
49,42,Webster,674,513,115,4,20,22,21,529,418,81,1,15,14,13,432,359,60,13,97,44,53,0,199,195,1,3,136,120,6,10,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
50,25A,Webster,109,0,109,0,0,0,0,79,0,79,0,0,0,0,55,0,55,0,47,0,47,0,1,0,1,0,7,0,7,0,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
52,1,West Carroll,358,201,144,1,7,5,5,286,165,109,0,7,5,5,270,148,120,2,125,38,87,0,84,77,6,1,61,33,27,1,Congressional District 5,State Senate District 33,State House District 19,District 5,District 4
28,22,Union,890,827,23,1,20,19,31,736,684,20,1,17,14,19,692,657,20,15,98,81,16,1,448,439,0,9,146,137,4,5,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
29,23,Union,833,760,17,2,23,31,30,636,588,14,1,16,17,17,648,618,8,22,101,91,5,5,402,393,0,9,145,134,3,8,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
31,13,Union,399,65,325,0,0,9,11,269,55,209,0,0,5,7,201,39,156,6,125,12,111,2,30,21,9,0,46,6,36,4,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
32,9,West Feliciana,605,159,440,0,4,2,4,431,106,319,0,4,2,2,484,149,328,7,307,20,286,1,95,90,5,0,82,39,37,6,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
33,12,West Feliciana,286,248,18,7,7,6,11,202,180,16,0,2,4,7,197,191,3,3,32,30,2,0,121,121,0,0,44,40,1,3,Congressional District 5,State Senate District 32,State House District 18,District 2,District 2
34,2,West Feliciana,610,259,327,5,3,16,10,436,190,228,5,1,12,9,533,210,317,6,314,39,272,3,127,123,4,0,92,48,41,3,Congressional District 5,State Senate District 17,State House District 18,District 2,District 2
74,8,Webster,717,678,6,2,23,8,6,558,533,2,2,16,5,3,427,414,4,9,55,51,3,1,241,236,0,5,131,127,1,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
75,11,Webster,1643,1496,70,3,45,29,23,1331,1203,63,3,38,24,13,997,937,44,16,179,139,36,4,581,575,1,5,237,223,7,7,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
80,16,Webster,1615,1338,190,4,47,36,21,1261,1064,142,2,36,17,10,1100,965,121,14,245,152,93,0,586,577,1,8,269,236,27,6,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
83,15,Webster,467,381,66,2,3,15,6,371,303,59,1,2,6,1,325,273,42,10,62,29,32,1,191,184,1,6,72,60,9,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
84,12,Webster,787,382,373,0,25,7,12,585,289,275,0,18,3,6,454,231,217,6,207,41,165,1,128,121,5,2,119,69,47,3,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
85,13,Webster,226,195,8,1,12,10,11,178,153,4,1,12,8,6,164,157,5,2,30,26,3,1,98,97,0,1,36,34,2,0,Congressional District 4,State Senate District 36,State House District 10,District 5,District 4
23,11,Union,1712,930,573,5,36,168,206,1270,742,387,2,31,108,135,1075,692,332,51,353,111,231,11,474,454,12,8,248,127,89,32,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
1,430,St. Tammany,1199,979,97,25,21,77,105,927,782,55,15,18,57,74,779,691,37,51,143,112,24,7,372,356,1,15,264,223,12,29,Congressional District 1,State Senate District 11,State House District 104,District 1,District 1
2,116,St. Tammany,1294,1138,24,30,33,69,90,922,813,14,18,24,53,64,911,854,14,43,88,73,9,6,595,576,2,17,228,205,3,20,Congressional District 1,State Senate District 11,State House District 77,District 1,District 1
3,14,Union,755,98,616,6,11,24,31,559,85,448,3,9,14,20,535,75,440,20,351,11,327,13,62,50,11,1,122,14,102,6,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
4,24,Union,934,671,213,4,22,24,25,719,525,163,4,12,15,14,639,438,190,11,241,78,160,3,268,260,6,2,130,100,24,6,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
7,7,Union,1045,835,128,4,16,62,74,822,685,83,1,13,40,41,781,680,80,21,146,73,67,6,476,471,1,4,159,136,12,11,Congressional District 4,State Senate District 33,State House District 12,District 5,District 4
45,39,Webster,1395,835,500,2,35,23,29,1100,679,376,1,30,14,15,860,604,246,10,264,65,197,2,375,368,5,2,221,171,44,6,Congressional District 4,State Senate District 31,State House District 10,District 5,District 4
